Time,cumulative_new_detected
83.75,50989
84,51003
84.25,51003
84.5,51003
84.75,51003
85,51025
85.25,51025
85.5,51025
85.75,51025
86,51041
86.25,51041
86.5,51041
86.75,51041
87,51053
87.25,51053
87.5,51053
87.75,51053
88,51062
88.25,51062
88.5,51062
88.75,51062
89,51068
89.25,51068
89.5,51068
89.75,51068
90,51069
90.25,51069
90.5,51069
90.75,51069
91,51075
91.25,51075
91.5,51075
91.75,51075
92,51078
92.25,51078
92.5,51078
92.75,51078
93,51083
93.25,51083
93.5,51083
93.75,51083
94,51088
94.25,51088
94.5,51088
94.75,51088
95,51093
95.25,51093
95.5,51093
95.75,51093
96,51097
96.25,51097
96.5,51097
96.75,51097
97,51100
97.25,51100
97.5,51100
97.75,51100
98,51100
98.25,51100
98.5,51100
98.75,51100
99,51102
99.25,51102
99.5,51102
99.75,51102
100,51105
100.25,51105
100.5,51105
100.75,51105
101,51105
101.25,51105
101.5,51105
101.75,51105
102,51105
102.25,51105
102.5,51105
102.75,51105
103,51105
103.25,51105
103.5,51105
103.75,51105
104,51106
104.25,51106
104.5,51106
104.75,51106
105,51106
105.25,51106
105.5,51106
105.75,51106
106,51106
106.25,51106
106.5,51106
106.75,51106
107,51106
107.25,51106
107.5,51106
107.75,51106
108,51106
108.25,51106
108.5,51106
108.75,51106
109,51106
109.25,51106
109.5,51106
109.75,51106
110,51106
110.25,51106
110.5,51106
110.75,51106
111,51106
111.25,51106
111.5,51106
111.75,51106
112,51106
112.25,51106
112.5,51106
112.75,51106
113,51106
113.25,51106
113.5,51106
113.75,51106
114,51106
114.25,51106
114.5,51106
114.75,51106
115,51106
115.25,51106
115.5,51106
115.75,51106
116,51106
116.25,51106
116.5,51106
116.75,51106
117,51106
117.25,51106
117.5,51106
117.75,51106
118,51106
118.25,51106
118.5,51106
118.75,51106
119,51106
119.25,51106
119.5,51106
119.75,51106
