Time,cumulative_new_hospitalised
83.75,26067
84,26072
84.25,26072
84.5,26072
84.75,26072
85,26080
85.25,26080
85.5,26080
85.75,26080
86,26087
86.25,26087
86.5,26087
86.75,26087
87,26089
87.25,26089
87.5,26089
87.75,26089
88,26093
88.25,26093
88.5,26093
88.75,26093
89,26095
89.25,26095
89.5,26095
89.75,26095
90,26097
90.25,26097
90.5,26097
90.75,26097
91,26098
91.25,26098
91.5,26098
91.75,26098
92,26100
92.25,26100
92.5,26100
92.75,26100
93,26101
93.25,26101
93.5,26101
93.75,26101
94,26103
94.25,26103
94.5,26103
94.75,26103
95,26105
95.25,26105
95.5,26105
95.75,26105
96,26107
96.25,26107
96.5,26107
96.75,26107
97,26108
97.25,26108
97.5,26108
97.75,26108
98,26109
98.25,26109
98.5,26109
98.75,26109
99,26110
99.25,26110
99.5,26110
99.75,26110
100,26111
100.25,26111
100.5,26111
100.75,26111
101,26111
101.25,26111
101.5,26111
101.75,26111
102,26112
102.25,26112
102.5,26112
102.75,26112
103,26112
103.25,26112
103.5,26112
103.75,26112
104,26112
104.25,26112
104.5,26112
104.75,26112
105,26112
105.25,26112
105.5,26112
105.75,26112
106,26112
106.25,26112
106.5,26112
106.75,26112
107,26112
107.25,26112
107.5,26112
107.75,26112
108,26112
108.25,26112
108.5,26112
108.75,26112
109,26112
109.25,26112
109.5,26112
109.75,26112
110,26112
110.25,26112
110.5,26112
110.75,26112
111,26112
111.25,26112
111.5,26112
111.75,26112
112,26112
112.25,26112
112.5,26112
112.75,26112
113,26113
113.25,26113
113.5,26113
113.75,26113
114,26113
114.25,26113
114.5,26113
114.75,26113
115,26113
115.25,26113
115.5,26113
115.75,26113
116,26113
116.25,26113
116.5,26113
116.75,26113
117,26113
117.25,26113
117.5,26113
117.75,26113
118,26113
118.25,26113
118.5,26113
118.75,26113
119,26113
119.25,26113
119.5,26113
119.75,26113
