Time,mean_fraction_lambda_W
60,0.0226221
60.25,0.0957552
60.5,0.0403942
60.75,0.0366379
61,0.0389024
61.25,0.0331088
61.5,0.0260586
61.75,0.0502157
62,0.043008
62.25,0.0842488
62.5,0.0185221
62.75,0.0657043
63,5.02067e-05
63.25,0.0955252
63.5,0.0853381
63.75,0.0519925
64,0.0437527
64.25,0.0205688
64.5,0.0224174
64.75,0.0240741
65,0
65.25,1.07362e-05
65.5,0.0845448
65.75,0.0252299
66,0.0381701
66.25,0.0616555
66.5,0.0546351
66.75,0.0273456
67,0.0325957
67.25,0.04538
67.5,0.0647037
67.75,0.0785731
68,0
68.25,0.125656
68.5,6.56879e-06
68.75,0.0299909
69,0.0576525
69.25,0.0452608
69.5,0
69.75,0
70,0.0410937
70.25,0.0729157
70.5,0.0453187
70.75,0.0617859
71,0.0553983
71.25,0.10884
71.5,0
71.75,0
72,0.0823906
72.25,0
72.5,0.0600485
72.75,0.279385
73,0
73.25,0
73.5,0
73.75,0
74,0.0826998
74.25,0
74.5,0.161749
74.75,0
75,0
75.25,0
75.5,0
75.75,0
76,0.332654
76.25,0
76.5,0
76.75,0.109059
77,0.110745
77.25,0
77.5,0
77.75,0
78,0
78.25,0
78.5,0.142473
78.75,0
79,0
79.25,0
79.5,0
79.75,0
80,0.000304702
80.25,0
80.5,0
80.75,0
81,0
81.25,0
81.5,0
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,0
84,0
84.25,0
84.5,0
84.75,0
85,0
85.25,0
85.5,0
85.75,0
86,0.199782
86.25,0
86.5,0
86.75,0
87,0
87.25,0
87.5,0
87.75,0
88,0.49993
88.25,0
88.5,0.33328
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,0
92,0
92.25,0
92.5,0
92.75,0.499813
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
